Session,Epoch,Train Loss,Validation Loss
1,1,0.6515959191997096,0.6347659304738045
1,2,0.627110776473891,0.6549259305000306
1,3,0.6191358459445665,0.6632175654172897
1,4,0.6147283180704657,0.646088806539774
1,5,0.6013590706594335,0.669836488366127
1,6,0.5924235419282373,0.6455294132232666
1,7,0.5751384826576185,0.612782996147871
1,8,0.5716309614901273,0.6357245661318303
1,9,0.5657290681353155,0.6107183679938316
1,10,0.5673049412808329,0.6385416068136692
1,11,0.5653048032109842,0.6307757720351219
1,12,0.5648787377765344,0.6222079500555993
1,13,0.5630730598602655,0.5978083170950412
1,14,0.5641331550835064,0.6179056011140347
1,15,0.5667716900132737,0.6200389057397843
1,16,0.5641475143672535,0.6028373509645462
1,17,0.5616809542074144,0.5888124965131283
1,18,0.5600458503519214,0.6073692865669728
1,19,0.5607196180700506,0.604198707640171
1,20,0.5602702121689634,0.5883551880717277
1,21,0.5570569542593926,0.6080302134156227
1,22,0.5534096026570542,0.5915011689066887
1,23,0.5545779513488026,0.582999362051487
1,24,0.5555710468277242,0.5718359790742398
1,25,0.5499959016371073,0.5949194237589837
1,26,0.5419407768069573,0.5827702641487121
1,27,0.5448151343273666,0.5493431679904461
1,28,0.5465361727108745,0.5840592250227928
1,29,0.5398911942475997,0.5873869054019452
1,30,0.5398175558953915,0.6057761467993259
1,31,0.5394836551738236,0.5931157894432545
1,32,0.5383330311790202,0.5833474792540073
1,33,0.5471576939588823,0.5901759169995785
1,34,0.5404006940013958,0.5782906286418438
1,35,0.5399724659304949,0.5726454839110374
1,36,0.5396605210859071,0.5717714630067349
1,37,0.5363708110350482,0.5746626123785973
1,38,0.5347023342015609,0.5873670160770417
1,39,0.5356872773395395,0.5857792496681213
1,40,0.5349061001771651,0.5809058368206024
1,41,0.5341576397793848,0.5814930319786071
1,42,0.5331060963231813,0.5962373822927475
1,43,0.5335041586333101,0.5576586969196796
1,44,0.532169575023951,0.5765501357614994
1,45,0.529443752278322,0.5769540555775166
1,46,0.5315918455708701,0.5586483351886272
1,47,0.5318406968371673,0.5752937607467175
1,48,0.5271790507454542,0.587851582467556
1,49,0.5282967294911919,0.5701146967709064
1,50,0.5328663312039286,0.5586448818445205
2,1,0.5288291575398835,0.5786698892712593
2,2,0.529968797598245,0.5892911940813065
2,3,0.5289063965374569,0.5662681296467781
2,4,0.5263143948414041,0.6029998071491718
2,5,0.5275236784287218,0.5841345645487308
2,6,0.5277305314750791,0.594694872200489
2,7,0.5257014367940291,0.5609828598797322
2,8,0.5224908237937111,0.5702290304005146
2,9,0.5273428617408441,0.5773278072476387
2,10,0.5210523181741342,0.5663782030344009
2,11,0.5220893717037057,0.5516319252550602
2,12,0.5248943018088551,0.5709831267595291
2,13,0.5211998479171369,0.5701350964605808
2,14,0.5191809295108484,0.5790768317878247
2,15,0.5213975717061721,0.5522622048854828
2,16,0.5152256419448733,0.5840759202837944
2,17,0.5188466644137161,0.5705933406949043
2,18,0.5141884866375593,0.5856113471090794
2,19,0.5152787365628488,0.6114868342876434
2,20,0.5167420000400184,0.563977950066328
2,21,0.5157449217337482,0.5545691549777985
2,22,0.5114514758376956,0.5650345757603645
2,23,0.5156044185911335,0.5674845948815346
2,24,0.5115232835025907,0.5818894304335117
2,25,0.5112388139625765,0.5393254399299622
2,26,0.504575048415166,0.5848799176514149
2,27,0.5088977961795135,0.5521466702222824
2,28,0.50865900703946,0.5680993415415287
2,29,0.5053865675281428,0.5606309466063977
2,30,0.5064563863682296,0.5441763520240783
2,31,0.509553722428076,0.541929030418396
2,32,0.5048603407991757,0.5488961040973663
2,33,0.5059754061249068,0.5630838796496391
2,34,0.4976228125065378,0.5712002158164978
2,35,0.5024263320853876,0.5494079940021038
2,36,0.499450461294666,0.5567157939076424
2,37,0.5027007066978598,0.5368891522288323
2,38,0.49999846958514277,0.5502720288932323
2,39,0.4961402395611289,0.5249216713011264
2,40,0.5024666448809066,0.5246427617967129
2,41,0.4979720580502876,0.5378828160464764
2,42,0.4956172003686053,0.5314435489475727
2,43,0.49437055554030074,0.5563006311655044
2,44,0.4932015496979719,0.5456452660262585
2,45,0.4906071698140798,0.5385066248476506
2,46,0.4942263582217618,0.5324308082461358
2,47,0.49368715567408866,0.5528027936816216
2,48,0.4871052719137204,0.5231638424098491
2,49,0.4973268707593282,0.5357625484466553
2,50,0.4912990256675384,0.5605926260352134
