Session,Epoch,Train Loss,Validation Loss
1,1,0.6374894637356764,0.6228428572416306
1,2,0.6271310935980119,0.615241103619337
1,3,0.6186627471971812,0.6229703247547149
1,4,0.6080078981207602,0.5936276875436306
1,5,0.5893785087567456,0.5805916920304298
1,6,0.584058608648912,0.5910026445984841
1,7,0.579719269800486,0.5821142420172691
1,8,0.5708321151118608,0.5805571243166924
1,9,0.5664997050222361,0.5737831927835941
1,10,0.5658829337770834,0.5740898132324219
1,11,0.5624878652065805,0.5751906298100948
1,12,0.5627628508603798,0.5970178574323655
1,13,0.5566648679709284,0.5730701722204685
1,14,0.5584548713651093,0.5778994254767895
1,15,0.5572267180343844,0.5567600965499878
1,16,0.5500042236076211,0.5777432002127171
1,17,0.5536463277519874,0.5620526537299156
1,18,0.5491680626599293,0.5751949638128281
1,19,0.5474409399167547,0.571014404296875
1,20,0.5548657879889386,0.5579407259821891
1,21,0.547800675315677,0.5775717556476593
1,22,0.5431272483096933,0.5591777093708515
1,23,0.5452623119894063,0.5663164034485817
1,24,0.5453724713070588,0.5601735457777977
1,25,0.5413354275361547,0.5611422128975392
1,26,0.5462122510814067,0.550185938924551
1,27,0.5394827704759514,0.5496969103813172
1,28,0.5347787681615578,0.552532185614109
1,29,0.540178378048183,0.5571505628526211
1,30,0.5343728783370564,0.562295313179493
1,31,0.5390165157662997,0.5517529554665088
1,32,0.53536046394762,0.5476534575223923
1,33,0.5327472776736853,0.5540749981999398
1,34,0.5318310753729358,0.545516663044691
1,35,0.5339177509523788,0.5566338561475277
1,36,0.5314075740628272,0.5438113771378994
1,37,0.5328347621099004,0.5613004431128502
1,38,0.5231743246879218,0.5574867852032185
1,39,0.5300078725664871,0.5511758327484131
1,40,0.5294823316658068,0.5395154275000096
1,41,0.529383344845202,0.5565369501709938
1,42,0.5203627816536142,0.5323210164904595
1,43,0.525375245877032,0.535050705075264
1,44,0.517289678630589,0.5382333181798458
1,45,0.5200118012023422,0.5279196850955487
1,46,0.5158073508514548,0.5314740285277366
1,47,0.5103672909661658,0.5365030884742736
1,48,0.5153811285330815,0.5427080072462559
1,49,0.5122792837004991,0.5325815677642822
1,50,0.5122611301500093,0.5829237103462219
2,1,0.5080837556776011,0.5259939350187779
2,2,0.5051187801660981,0.5696845486760139
2,3,0.5119896855369304,0.5299795173108578
2,4,0.5029161718656432,0.5209810934960842
2,5,0.49829355257112273,0.5553099058568478
2,6,0.5006420430522295,0.541792618483305
2,7,0.4974400299899983,0.5424052841961384
2,8,0.4991928805720131,0.558679111301899
2,9,0.5066090591673581,0.5362678907811642
2,10,0.5034053711771215,0.5198613598942756
2,11,0.49917828699327865,0.5347553960978985
2,12,0.4982599139963306,0.5281638637185097
2,13,0.49334914316921114,0.5113994747400283
2,14,0.49413519516680976,0.543325612694025
2,15,0.490141713206873,0.5395328313112259
2,16,0.4953136737429121,0.5195188745856285
2,17,0.4887763049992375,0.5382588267326355
2,18,0.4958290995666816,0.5172416895627976
2,19,0.4878084891997043,0.5141977354884147
2,20,0.4876892071849895,0.5349073000252247
2,21,0.4902673395549726,0.5373261921107769
2,22,0.49115573272765056,0.5061420544981956
2,23,0.49415904845831526,0.5178549431264401
2,24,0.4858333704606542,0.517293856292963
2,25,0.484098751777373,0.5109393790364265
2,26,0.4858125335765335,0.5058695383369922
2,27,0.4845044033707313,0.5611075296998024
2,28,0.48667045621751986,0.5653710953891278
2,29,0.49312361793698006,0.5048796996474266
2,30,0.4763310409192019,0.5113941907882691
2,31,0.48234770601650456,0.5427148833870887
2,32,0.4862049585618313,0.5857422403991223
2,33,0.4879854711346656,0.5541162200272083
2,34,0.48460508592473633,0.5046058155596256
2,35,0.4792979489894783,0.5222723305225372
2,36,0.4845112213548624,0.5031029306352138
2,37,0.4838555057843526,0.5030631147325039
2,38,0.48411527819603495,0.518830232322216
2,39,0.4813887484418521,0.5166393741965294
2,40,0.4817276898794954,0.5451538167893887
2,41,0.47928792406927867,0.5122297435998917
2,42,0.48850151577835565,0.5231187008321285
2,43,0.4782397362796016,0.5197202540934086
2,44,0.4762920692281903,0.5029680632054806
2,45,0.4714960660199699,0.5173452861607075
2,46,0.4760808311168503,0.5099837824702262
2,47,0.4685804324704896,0.5014460243284702
2,48,0.48087000209580427,0.506614288687706
2,49,0.4832948260712174,0.520978058129549
2,50,0.47747355643308387,0.5357731230556965
3,1,0.47376700036180847,0.5354496918618679
3,2,0.47506091917085946,0.49777588397264483
